id;name;local_name;iso_2;iso_3;numeric_code;phone_code;currency;currency_name;currency_symbol;emoji;emoji_u
1;splurge husk amnesty;inasmuch;final sizzling;because during outside;ecstatic till;likable;whereas versus;Algerian Dinar;$;including;until of
2;across wheel;buck lend;creaking trench reluctantly;bitter supposing;putrefy notwithstanding enchanted;outfox pink;yahoo;Won;RM;developmental print haversack;yuck beyond lovingly
3;as swing;extent;knottily;quash;monthly;whispered blah override;so ouch;Guarani;Bs;membership bashfully;drab er beneath
4;afore dock some;than truly fixed;triumphantly er brown;interior overburden;noisily;hornet worth;absent guacamole;North Korean Won;฿;reorient phooey;hm
5;oil furthermore;innovation left;during inasmuch truthfully;noisily sentimental;spork;nor;aha;Zloty;£;so platter ew;brr remark
6;supposing goose;executor duh;wilt;shout;minus consequently gosh;incidentally stratify;whoever;Malaysian Ringgit;₨;bug peaceful;velocity
7;live ouch;determined;ack hamburger peppery;uproot worth;tool if;phooey;brr torn;Cordoba Oro;Bs;around abnormally;powerfully swiftly
8;however;except refute hope;behind aha;adjudge readily marten;terrible lest;until;signature superb rosy;Cuban Peso;kr;fork jealously;considering
9;descent sorrowful;frantically nor;yahoo;because cork;crafty haze;even quaff miserably;past safely;Rufiyaa;؋;skeletal;near
10;accredit plagiarise warlike;ack;colorfully;nor oof;limited likewise hm;acquaintance busily;but;Lari;$;on cumbersome sunder;for fatally impossible
